country,major_area,region,year 2017,year 2018,year 2019,year 2020,year 2021,year 2022,year 2023,year 2024,change_2017_24,change_21_22
Argentina,Latin America and the Caribbean,South America,14.98,20.84,31.15,44.28,57.49,47.19,68.66,88.03,487.7,-17.92
Bolivia,Latin America and the Caribbean,South America,5.07,7.29,12.48,18.47,27.06,22.60,26.23,42.45,737.3,-16.48
Brazil,Latin America and the Caribbean,South America,17.26,24.89,42.47,66.73,108.88,94.36,126.89,170.42,887.4,-13.34
Chile,Latin America and the Caribbean,South America,31.00,51.60,85.05,128.95,209.83,211.43,240.43,265.62,756.8,0.76
Colombia,Latin America and the Caribbean,South America,10.63,14.93,23.28,36.63,68.44,84.66,99.19,144.98,1263.9,23.70
Ecuador,Latin America and the Caribbean,South America,10.02,12.65,18.62,26.83,37.53,43.19,68.95,93.79,836.0,15.08
Guyana,Latin America and the Caribbean,South America,7.73,18.74,19.71,25.19,63.20,50.93,59.37,90.78,1074.4,-19.41
Paraguay,Latin America and the Caribbean,South America,7.67,56.33,58.83,39.99,72.94,63.51,78.05,92.67,1108.2,-12.93
Peru,Latin America and the Caribbean,South America,14.18,23.71,28.65,35.31,57.97,53.98,89.34,166.89,1076.9,-6.88
Suriname,Latin America and the Caribbean,South America,No data,7.90,10.64,11.39,14.93,11.59,11.33,12.09,53.0,-22.37
Uruguay,Latin America and the Caribbean,South America,20.97,35.58,45.62,53.57,61.23,94.60,144.28,156.02,644.0,54.50
Venezuela,Latin America and the Caribbean,South America,3.42,4.13,3.53,6.15,22.33,11.10,29.51,59.81,1648.8,-50.29